# LULESH-CUDA halo-exchange backends -- 5-rep figure of merit, for plots/make_poster_figure.py
# job=61540  node=h200x8-03  date=2026-08-13  ranks=8  size=45  iterations=3145
# env=UCX defaults (UCX_TLS unset)   harness HEAD=7cc19cf
# Extracted from the job's RESULT lines (lulesh_lifecycle_61540.out, gitignored);
# the committed narrative record is results/lulesh_lifecycle_61540.md.
# Kept SEPARATE from results/lulesh_variance.csv on purpose: make_lulesh_plots.py
# medians over that whole file, so appending these rows would silently move the
# published Fig. 5 bars. See the "Why this file is separate" section of the .md.
# `rep` is an in-job repetition here, not a separate job submission.
variant,rep,jobid,ranks,size,iterations,fom_z_per_s
staged,1,61540,8,45,3145,1184185.7
staged,2,61540,8,45,3145,1181599.7
staged,3,61540,8,45,3145,1178744.3
staged,4,61540,8,45,3145,1175121.9
staged,5,61540,8,45,3145,1178314.9
gpumpi,1,61540,8,45,3145,1247190.8
gpumpi,2,61540,8,45,3145,1251939.5
gpumpi,3,61540,8,45,3145,1243921.6
gpumpi,4,61540,8,45,3145,1248485.3
gpumpi,5,61540,8,45,3145,1248893.7
shmwin,1,61540,8,45,3145,1097739
shmwin,2,61540,8,45,3145,1097316.6
shmwin,3,61540,8,45,3145,1100197.7
shmwin,4,61540,8,45,3145,1097459.2
shmwin,5,61540,8,45,3145,1097820.1
ipc,1,61540,8,45,3145,1426036.7
ipc,2,61540,8,45,3145,1424942.4
ipc,3,61540,8,45,3145,1424222.1
ipc,4,61540,8,45,3145,1424017.7
ipc,5,61540,8,45,3145,1423333.4
ipc_rp,1,61540,8,45,3145,1681042.8
ipc_rp,2,61540,8,45,3145,1677515.6
ipc_rp,3,61540,8,45,3145,1677895.9
ipc_rp,4,61540,8,45,3145,1681167.9
ipc_rp,5,61540,8,45,3145,1676766.4
mpiwrap,1,61540,8,45,3145,1415677.8
mpiwrap,2,61540,8,45,3145,1419888.7
mpiwrap,3,61540,8,45,3145,1418812.5
mpiwrap,4,61540,8,45,3145,1416032
mpiwrap,5,61540,8,45,3145,1420702.5
mpiwrap_rp,1,61540,8,45,3145,1674919.3
mpiwrap_rp,2,61540,8,45,3145,1674087.3
mpiwrap_rp,3,61540,8,45,3145,1674540.6
mpiwrap_rp,4,61540,8,45,3145,1672515.1
mpiwrap_rp,5,61540,8,45,3145,1673307.1
nvshmem,1,61540,8,45,3145,1302981.6
nvshmem,2,61540,8,45,3145,1301088.9
nvshmem,3,61540,8,45,3145,1300779.3
nvshmem,4,61540,8,45,3145,1300464.8
nvshmem,5,61540,8,45,3145,1303409.8
direct,1,61540,8,45,3145,1801684
direct,2,61540,8,45,3145,1802987
direct,3,61540,8,45,3145,1804861.7
direct,4,61540,8,45,3145,1800702.7
direct,5,61540,8,45,3145,1801476.2
