variant,rep,jobid,node,ranks,size,iterations,grind_us_z_c,elapsed_s_log,elapsed_s_hi,fom_z_per_s,energy
direct,1,60796,h200x8-03,8,45,3145,0.00054466454,1.25,1.2487551141807,1835992.5,1.482403e+06
direct,2,60797,h200x8-03,8,45,3145,0.00054535514,1.25,1.2503384562536999,1833667.5,1.482403e+06
direct,3,60798,h200x8-03,8,45,3145,0.00054595279,1.25,1.25170869139695,1831660.2,1.482403e+06
direct,4,60799,h200x8-03,8,45,3145,0.0005458822,1.25,1.251546849351,1831897.1,1.482403e+06
direct,5,60800,h200x8-03,8,45,3145,0.00055045014,1.26,1.2620197882287,1816695.0,1.482403e+06
gpumpi,1,60796,h200x8-03,8,45,3145,0.00079683933,1.83,1.82691751608765,1254958.1,1.482403e+06
gpumpi,2,60797,h200x8-03,8,45,3145,0.00079936835,1.83,1.8327158128867498,1250987.7,1.482403e+06
gpumpi,3,60798,h200x8-03,8,45,3145,0.00079866144,1.83,1.8310950767952,1252095.0,1.482403e+06
gpumpi,4,60799,h200x8-03,8,45,3145,0.00079602744,1.83,1.8250560918252001,1256238.1,1.482403e+06
gpumpi,5,60800,h200x8-03,8,45,3145,0.00079788857,1.83,1.82932311388185,1253307.8,1.482403e+06
ipc,1,60796,h200x8-03,8,45,3145,0.00069629,1.6,1.5963875644499999,1436183.2,1.482403e+06
ipc,2,60797,h200x8-03,8,45,3145,0.00069471762,1.59,1.5927825609621,1439433.8,1.482403e+06
ipc,3,60798,h200x8-03,8,45,3145,0.00069719102,1.6,1.5984533375091001,1434327.1,1.482403e+06
ipc,4,60799,h200x8-03,8,45,3145,0.00069356781,1.59,1.59014638582605,1441820.1,1.482403e+06
ipc,5,60800,h200x8-03,8,45,3145,0.00069447564,1.59,1.5922277722062002,1439935.3,1.482403e+06
ipc_rp,1,60796,h200x8-03,8,45,3145,0.00059155074,1.36,1.3562513393517,1690472.1,1.482403e+06
ipc_rp,2,60797,h200x8-03,8,45,3145,0.00059235934,1.36,1.3581052206147002,1688164.5,1.482403e+06
ipc_rp,3,60798,h200x8-03,8,45,3145,0.00059152146,1.36,1.3561842089493,1690555.7,1.482403e+06
ipc_rp,4,60799,h200x8-03,8,45,3145,0.00059317331,1.36,1.35997141370355,1685847.9,1.482403e+06
ipc_rp,5,60800,h200x8-03,8,45,3145,0.0005942768,1.36,1.362501390744,1682717.6,1.482403e+06
mpiwrap,1,60796,h200x8-03,8,45,3145,0.00069465444,1.59,1.5926377078602,1439564.7,1.482403e+06
mpiwrap,2,60797,h200x8-03,8,45,3145,0.0006957247,1.6,1.5950914983135,1437350.1,1.482403e+06
mpiwrap,3,60798,h200x8-03,8,45,3145,0.00069505564,1.59,1.5935575411062002,1438733.7,1.482403e+06
mpiwrap,4,60799,h200x8-03,8,45,3145,0.00069670866,1.6,1.5973474283253,1435320.2,1.482403e+06
mpiwrap,5,60800,h200x8-03,8,45,3145,0.00069674203,1.6,1.59742393589115,1435251.4,1.482403e+06
mpiwrap_rp,1,60796,h200x8-03,8,45,3145,0.00059305417,1.36,1.3596982608298498,1686186.6,1.482403e+06
mpiwrap_rp,2,60797,h200x8-03,8,45,3145,0.00059266806,1.36,1.3588130245023,1687285.1,1.482403e+06
mpiwrap_rp,3,60798,h200x8-03,8,45,3145,0.00059248278,1.36,1.3583882321199,1687812.8,1.482403e+06
mpiwrap_rp,4,60799,h200x8-03,8,45,3145,0.00059291046,1.36,1.3593687761943,1686595.3,1.482403e+06
mpiwrap_rp,5,60800,h200x8-03,8,45,3145,0.00059286913,1.36,1.3592740186966499,1686712.9,1.482403e+06
nvshmem,1,60796,h200x8-03,8,45,3145,0.00076136091,1.75,1.7455759651615501,1313437.5,1.482403e+06
nvshmem,2,60797,h200x8-03,8,45,3145,0.00076064031,1.74,1.7439238419385499,1314681.8,1.482403e+06
nvshmem,3,60798,h200x8-03,8,45,3145,0.00076164782,1.75,1.7462337651531,1312942.8,1.482403e+06
nvshmem,4,60799,h200x8-03,8,45,3145,0.00076062919,1.74,1.74389834705895,1314701.0,1.482403e+06
nvshmem,5,60800,h200x8-03,8,45,3145,0.00076112912,1.75,1.7450445390695999,1313837.5,1.482403e+06
shmwin,1,60796,h200x8-03,8,45,3145,0.0009033986,2.07,2.071226487213,1106931.1,1.482403e+06
shmwin,2,60797,h200x8-03,8,45,3145,0.00090200802,2.07,2.0680382974941,1108637.6,1.482403e+06
shmwin,3,60798,h200x8-03,8,45,3145,0.00090307789,2.07,2.07049119379245,1107324.2,1.482403e+06
shmwin,4,60799,h200x8-03,8,45,3145,0.00090146993,2.07,2.06680461586065,1109299.3,1.482403e+06
shmwin,5,60800,h200x8-03,8,45,3145,0.00092062719,2.11,2.11072656164895,1086216.0,1.482403e+06
staged,1,60796,h200x8-03,8,45,3145,0.00085042934,1.95,1.9497835999647002,1175876.6,1.482403e+06
staged,2,60797,h200x8-03,8,45,3145,0.00085047131,1.95,1.94987982479355,1175818.6,1.482403e+06
staged,3,60798,h200x8-03,8,45,3145,0.00085007674,1.95,1.9489751921817002,1176364.4,1.482403e+06
staged,4,60799,h200x8-03,8,45,3145,0.00084905621,1.95,1.94663541794805,1177778.3,1.482403e+06
staged,5,60800,h200x8-03,8,45,3145,0.00084900601,1.95,1.94652032415705,1177848.0,1.482403e+06
