job,node,date,head,libmpiwrap,src_md5,warmup,iters,np,accum,mode,order,rep,gbps
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,direct,1024,1,253.9345
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,single,1024,1,563.9288
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,buffered,1024,1,215.0101
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,gpumpi,1024,1,232.6021
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,staged,1024,1,65.9650
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,nvdirect,1024,1,9.1885
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,nvsingle,1024,1,2.7474
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,nvbuffered,1024,1,55.0067
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,direct,1024,2,260.9592
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,single,1024,2,563.7697
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,buffered,1024,2,215.7173
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,gpumpi,1024,2,231.0629
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,staged,1024,2,67.7196
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,nvdirect,1024,2,6.8531
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,nvsingle,1024,2,10.5557
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,nvbuffered,1024,2,12.2258
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,direct,1024,3,261.7980
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,single,1024,3,563.6502
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,buffered,1024,3,215.1248
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,gpumpi,1024,3,230.6299
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,staged,1024,3,66.1379
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,nvdirect,1024,3,10.4276
