case,variant,size,iters,rc,iteration_count,energy,elapsed_s,per_iter_ms,fom,cuCtxGetApiVersion,ucx_error_lines,invalid_context_lines,log
staged_default_45_200,staged,45,200,0,200,2.188600e+07,0.14,0.700000,1007859.2,0,0,0,/lustre/nvwulf/home/vchotalia/mpiwrap/ucx_lulesh_experiments_46508/staged_default_45_200.log
staged_ob1_45_200,staged,45,200,0,200,2.188600e+07,0.17,0.850000,836112.88,0,0,0,/lustre/nvwulf/home/vchotalia/mpiwrap/ucx_lulesh_experiments_46508/staged_ob1_45_200.log
staged_ucx_self_sm_45_200,staged,45,200,1,,,,,,0,0,0,/lustre/nvwulf/home/vchotalia/mpiwrap/ucx_lulesh_experiments_46508/staged_ucx_self_sm_45_200.log
gpumpi_default_45_200,gpumpi,45,200,0,200,2.188600e+07,3.84,19.200000,38015.89,1026,1024,1032,/lustre/nvwulf/home/vchotalia/mpiwrap/ucx_lulesh_experiments_46508/gpumpi_default_45_200.log
gpumpi_ucx_tls_only_45_200,gpumpi,45,200,0,200,2.188600e+07,3.79,18.950000,38491.067,1027,1024,1032,/lustre/nvwulf/home/vchotalia/mpiwrap/ucx_lulesh_experiments_46508/gpumpi_ucx_tls_only_45_200.log
gpumpi_ucx_memcache_off_45_200,gpumpi,45,200,0,200,2.188600e+07,3.79,18.950000,38497.151,1025,1024,1032,/lustre/nvwulf/home/vchotalia/mpiwrap/ucx_lulesh_experiments_46508/gpumpi_ucx_memcache_off_45_200.log
gpumpi_ucx_no_dmabuf_45_200,gpumpi,45,200,0,200,2.188600e+07,3.80,19.000000,38343.801,1025,1025,1032,/lustre/nvwulf/home/vchotalia/mpiwrap/ucx_lulesh_experiments_46508/gpumpi_ucx_no_dmabuf_45_200.log
gpumpi_ucx_log_fatal_45_200,gpumpi,45,200,0,200,2.188600e+07,4.01,20.050000,36346.261,0,0,0,/lustre/nvwulf/home/vchotalia/mpiwrap/ucx_lulesh_experiments_46508/gpumpi_ucx_log_fatal_45_200.log
shmwin_default_45_200,shmwin,45,200,0,200,2.188600e+07,0.15,0.750000,962448.91,0,0,0,/lustre/nvwulf/home/vchotalia/mpiwrap/ucx_lulesh_experiments_46508/shmwin_default_45_200.log
ipc_default_45_200,ipc,45,200,0,200,2.188600e+07,0.14,0.700000,1079961.9,0,0,0,/lustre/nvwulf/home/vchotalia/mpiwrap/ucx_lulesh_experiments_46508/ipc_default_45_200.log
mpiwrap_preload_45_200,mpiwrap,45,200,0,200,2.188600e+07,0.16,0.800000,938206.25,0,0,0,/lustre/nvwulf/home/vchotalia/mpiwrap/ucx_lulesh_experiments_46508/mpiwrap_preload_45_200.log
nvshmem_default_45_200,nvshmem,45,200,0,200,2.188600e+07,0.19,0.950000,778813.78,0,0,0,/lustre/nvwulf/home/vchotalia/mpiwrap/ucx_lulesh_experiments_46508/nvshmem_default_45_200.log
gpumpi_default_60_200,gpumpi,60,200,0,200,5.187793e+07,3.84,19.200000,90110.661,1026,1021,1032,/lustre/nvwulf/home/vchotalia/mpiwrap/ucx_lulesh_experiments_46508/gpumpi_default_60_200.log
gpumpi_ucx_memcache_off_60_200,gpumpi,60,200,0,200,5.187793e+07,4.10,20.500000,84270.41,1024,1022,1032,/lustre/nvwulf/home/vchotalia/mpiwrap/ucx_lulesh_experiments_46508/gpumpi_ucx_memcache_off_60_200.log
ipc_default_60_200,ipc,60,200,0,200,5.187793e+07,0.17,0.850000,2067964.8,0,0,0,/lustre/nvwulf/home/vchotalia/mpiwrap/ucx_lulesh_experiments_46508/ipc_default_60_200.log
gpumpi_default_80_200,gpumpi,80,200,0,200,1.229699e+08,3.99,19.950000,205365.77,1026,1024,1032,/lustre/nvwulf/home/vchotalia/mpiwrap/ucx_lulesh_experiments_46508/gpumpi_default_80_200.log
gpumpi_ucx_memcache_off_80_200,gpumpi,80,200,0,200,1.229699e+08,4.17,20.850000,196421.88,1025,1023,1032,/lustre/nvwulf/home/vchotalia/mpiwrap/ucx_lulesh_experiments_46508/gpumpi_ucx_memcache_off_80_200.log
ipc_default_80_200,ipc,80,200,0,200,1.229699e+08,0.19,0.950000,4212059.3,0,0,0,/lustre/nvwulf/home/vchotalia/mpiwrap/ucx_lulesh_experiments_46508/ipc_default_80_200.log
gpumpi_default_100_200,gpumpi,100,200,0,200,2.401756e+08,4.02,20.100000,398078.71,1025,1024,1032,/lustre/nvwulf/home/vchotalia/mpiwrap/ucx_lulesh_experiments_46508/gpumpi_default_100_200.log
gpumpi_ucx_memcache_off_100_200,gpumpi,100,200,0,200,2.401756e+08,3.88,19.400000,412470.99,1025,1025,1032,/lustre/nvwulf/home/vchotalia/mpiwrap/ucx_lulesh_experiments_46508/gpumpi_ucx_memcache_off_100_200.log
ipc_default_100_200,ipc,100,200,0,200,2.401756e+08,0.25,1.250000,6410349.9,0,0,0,/lustre/nvwulf/home/vchotalia/mpiwrap/ucx_lulesh_experiments_46508/ipc_default_100_200.log
staged_ob1_45_full,staged,45,0,0,3146,1.482403e+06,2.45,0.778767,934713.61,0,0,0,/lustre/nvwulf/home/vchotalia/mpiwrap/ucx_lulesh_experiments_46508/staged_ob1_45_full.log
gpumpi_ucx_memcache_off_45_full,gpumpi,45,0,0,3145,1.482403e+06,5.82,1.850556,393820.98,1025,1025,1032,/lustre/nvwulf/home/vchotalia/mpiwrap/ucx_lulesh_experiments_46508/gpumpi_ucx_memcache_off_45_full.log
ipc_default_45_full,ipc,45,0,0,3145,1.482403e+06,1.96,0.623211,1168187.4,0,0,0,/lustre/nvwulf/home/vchotalia/mpiwrap/ucx_lulesh_experiments_46508/ipc_default_45_full.log
nvshmem_default_45_full,nvshmem,45,0,0,3145,1.482403e+06,1.99,0.632750,1154601.8,0,0,0,/lustre/nvwulf/home/vchotalia/mpiwrap/ucx_lulesh_experiments_46508/nvshmem_default_45_full.log
